C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,Sn,Al,Ti,Nb,CEQ,板坯装炉前温度,轧制道次数,精轧道次数,轧制厚度,粗轧开轧温度_测量平均,粗轧终止温度_测量平均,精轧开轧温度_测量平均,精轧终止温度_测量平均,抽出平均温度,TENSION_RM,YIELD_REH,EL
0.151,0.26,1.24,0.011,0.004,0.02,0.01,0.02,0.001,0.001,0.002,0.034,0.015,0.011,0.38,581,12,7,28.45,1152,1104,865,828,1179,559,463,27.5
0.151,0.28,1.24,0.01,0.003,0.02,0.01,0.01,0.003,0.002,0.002,0.035,0.016,0.013,0.38,20,16,11,44.45,1183,1129,857,814,1205,523,447,27.0
0.149,0.3,1.27,0.014,0.004,0.02,0.01,0.02,0.001,0.002,0.002,0.037,0.018,0.011,0.37,20,14,7,13.5,1160,1102,918,784,1194,524,426,30.0
0.15,0.25,1.26,0.015,0.008,0.02,0.01,0.02,0.002,0.002,0.002,0.034,0.016,0.013,0.37,538,14,9,19.38,1174,1112,852,818,1192,485,386,27.5
0.145,0.25,1.24,0.013,0.003,0.02,0.01,0.02,0.001,0.001,0.002,0.044,0.017,0.011,0.36,595,12,7,19.66,1167,1109,837,787,1187,514,400,26.5
0.15,0.25,1.26,0.015,0.008,0.02,0.01,0.02,0.002,0.002,0.002,0.034,0.016,0.013,0.37,556,14,7,23.55,1165,1114,878,818,1188,495,400,29.0
0.146,0.28,1.23,0.015,0.005,0.02,0.01,0.01,0.001,0.002,0.002,0.038,0.015,0.013,0.36,603,16,9,47.1,1154,1104,847,821,1198,553,437,27.5
0.148,0.25,1.25,0.014,0.005,0.02,0.01,0.02,0.001,0.002,0.002,0.032,0.017,0.015,0.36,594,16,9,47.1,1165,1115,857,830,1198,519,402,27.5
0.154,0.28,1.25,0.014,0.003,0.02,0.01,0.01,0.001,0.002,0.002,0.035,0.019,0.013,0.37,563,16,9,20.0,1165,1114,884,813,1200,529,418,25.0
0.15,0.29,1.24,0.012,0.002,0.02,0.01,0.01,0.001,0.002,0.002,0.034,0.018,0.013,0.36,595,14,7,19.3,1182,1129,884,820,1206,533,416,27.0
0.15,0.26,1.29,0.014,0.003,0.02,0.01,0.01,0.001,0.002,0.002,0.032,0.02,0.013,0.37,598,14,7,18.45,1168,1115,881,808,1201,541,450,26.5
0.162,0.3,1.23,0.01,0.004,0.02,0.01,0.01,0.001,0.001,0.003,0.035,0.016,0.011,0.37,33,12,7,24.92,1178,1128,866,839,1209,529,484,28.0
0.152,0.31,1.24,0.015,0.005,0.02,0.01,0.01,0.002,0.002,0.003,0.036,0.017,0.012,0.36,10,12,7,19.42,1180,1128,869,829,1207,553,469,29.0
